"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Заполням форму заказа, проверяем, что заказ отправлен. Проверяем клики по лого сервиса и Яндекса.","3305","Проверка заполнения формы заказа","tests","2026-02-12","passed","2026-02-12","TestPraktikum","test_order","",""
"Проверяем, что все секции раздела FAQ раскрываются","5461","Проверка раскрывания FAQ","tests","2026-02-12","passed","2026-02-12","TestPraktikum","test_faq","",""
"Заполням форму заказа, проверяем, что заказ отправлен. Проверяем клики по лого сервиса и Яндекса.","4626","Проверка заполнения формы заказа","tests","2026-02-12","passed","2026-02-12","TestPraktikum","test_order","",""
